"YEAR","MONTH","site_merged","mean_min_temp","mean_max_temp","mean_min_light","mean_max_light","MY"
2015,12,"QUD",12.5289473684211,20.2664736842105,175.626315789474,53809.5947368421,2015-12-01
2016,1,"QUD",10.968064516129,18.1914838709677,147.238709677419,38241.9225806452,2016-01-01
2016,2,"QUD",8.49127586206897,19.8160344827586,296.58275862069,88424.8137931034,2016-02-01
2016,2,"SJD",6.9822,15.326,245.42,70404.92,2016-02-01
2016,3,"QUD",7.98125806451613,26.6625161290323,197.909677419355,128178.622580645,2016-03-01
2016,3,"SJD",6.8471935483871,19.3847419354839,296.18064516129,87978.3516129032,2016-03-01
2016,4,"QUD",10.5709333333333,28.8869,184.776666666667,134540.88,2016-04-01
2016,4,"SJD",8.84193333333333,23.0973666666667,245.773333333333,91117.6366666667,2016-04-01
2016,5,"QUD",12.3792903225806,28.1818064516129,271.883870967742,96983.964516129,2016-05-01
2016,5,"SJD",11.5637096774194,22.1943548387097,242.025806451613,56433.7064516129,2016-05-01
2016,6,"QUD",13.4205,33.2135333333333,25.48,131165.303333333,2016-06-01
2016,6,"SJD",13.2399,25.3573333333333,36.5966666666667,68912.31,2016-06-01
2016,7,"QUD",13.9293225806452,32.2767096774194,85.4161290322581,96489.5225806452,2016-07-01
2016,7,"SJD",13.8924193548387,28.0383225806452,38.5548387096774,65955.9903225806,2016-07-01
2016,8,"QUD",14.6373225806452,32.409935483871,111.467741935484,83333.8774193548,2016-08-01
2016,8,"SJD",13.1344193548387,30.1952258064516,184.729032258065,79600.5290322581,2016-08-01
2016,9,"QUD",13.2575666666667,28.4139,314.676666666667,78419.0333333333,2016-09-01
2016,9,"SJD",12.7418,25.2538666666667,111.6,64526.3533333333,2016-09-01
2016,10,"QUD",13.4144516129032,26.0817741935484,130.216129032258,52789.2387096774,2016-10-01
2016,10,"SJD",12.7402258064516,22.0997419354839,102.435483870968,19966.8,2016-10-01
2016,11,"QUD",9.4758,19.7242333333333,196.623333333333,32995.1233333333,2016-11-01
2016,11,"SJD",8.018,17.1438,63.1533333333333,13048.7866666667,2016-11-01
2016,12,"QUD",7.90725806451613,18.9548709677419,161.454838709677,68267.1193548387,2016-12-01
2016,12,"SJD",5.22945161290323,16.3661935483871,87.1516129032258,18700.1193548387,2016-12-01
2017,1,"QUD",6.20635483870968,17.1909677419355,91.6645161290323,34433.5580645161,2017-01-01
2017,1,"SJD",3.58964516129032,14.1737419354839,130.558064516129,15111.2225806452,2017-01-01
2017,2,"QUD",9.13389285714286,20.6448928571429,221.817857142857,51365.6071428571,2017-02-01
2017,2,"SJD",7.50678571428571,16.6860714285714,68.0535714285714,15653.8821428571,2017-02-01
2017,3,"QUD",10.3461612903226,23.6016129032258,95.841935483871,56144.8193548387,2017-03-01
2017,3,"SJD",8.70564516129032,18.7011290322581,95.4935483870968,49978.1064516129,2017-03-01
2017,4,"QUD",10.5994,29.5862,83.2466666666667,74882.7133333333,2017-04-01
2017,4,"SJD",9.54246666666667,23.5939333333333,64.95,60622.6233333333,2017-04-01
2017,5,"QUD",13.2575161290323,27.8779032258065,229.522580645161,66267.1096774194,2017-05-01
2017,5,"SJD",12.3537741935484,24.9801290322581,56.9516129032258,63511.5322580645,2017-05-01
2017,6,"QUD",14.5311,30.7428,58.85,70496.7633333333,2017-06-01
2017,6,"SJD",13.9929333333333,28.7668,26.56,57844.0833333333,2017-06-01
2017,7,"QUD",14.8718387096774,31.4715483870968,53.4806451612903,74089.3870967742,2017-07-01
2017,7,"SJD",15.4203870967742,30.3196774193548,25.6967741935484,87922.8032258064,2017-07-01
2017,8,"QUD",13.4585483870968,31.2062580645161,67.7129032258065,73867.1548387097,2017-08-01
2017,8,"SJD",13.6595806451613,29.6378387096774,90.6322580645161,79733.8548387097,2017-08-01
2017,9,"QUD",12.3522666666667,28.7377,281.673333333333,67580.4533333333,2017-09-01
2017,9,"SJD",12.9139666666667,25.7721666666667,60.6366666666667,79498.3033333333,2017-09-01
2017,10,"QUD",11.5329677419355,28.1853548387097,110.764516129032,45366.9709677419,2017-10-01
2017,10,"SJD",9.93729032258065,24.963064516129,58.6870967741935,57844.8322580645,2017-10-01
2017,11,"QUD",8.74683333333333,23.3506,301.386666666667,53986.29,2017-11-01
2017,11,"SJD",7.137,19.3911666666667,64.59,35713.39,2017-11-01
2017,12,"QUD",7.17683870967742,19.0494193548387,204.164516129032,43533.6225806452,2017-12-01
2017,12,"SJD",5.26941935483871,16.9320322580645,49.6612903225806,37055.8032258064,2017-12-01
2018,1,"QUD",7.05051612903226,18.1663548387097,80.5645161290323,36300.2483870968,2018-01-01
2018,1,"SJD",6.27177419354839,15.9074516129032,95.8387096774194,30722.4290322581,2018-01-01
2018,2,"QUD",5.55425,22.1205,304.089285714286,62529.3785714286,2018-02-01
2018,2,"SJD",5.679,16.5863928571429,69.9607142857143,58937.3,2018-02-01
2018,3,"FAR",9.54194117647059,28.9608823529412,168.435294117647,139237.517647059,2018-03-01
2018,3,"LSA",10.8267083333333,24.1664583333333,89.25,111084.0625,2018-03-01
2018,3,"QUD",8.78812903225806,23.0773870967742,113.88064516129,69611.5709677419,2018-03-01
2018,3,"SEI",7.78473684210526,21.2107368421053,156.368421052632,97315.2684210526,2018-03-01
2018,3,"SJD",8.36883870967742,19.8325806451613,82.6387096774194,78222.735483871,2018-03-01
2018,4,"FAR",10.6333333333333,27.6053,201.29,111003.693333333,2018-04-01
2018,4,"LSA",9.74266666666667,27.0998666666667,168.283333333333,128823.066666667,2018-04-01
